Age,Income,SpendingScore
19,15,39
21,15,81
20,16,6
23,16,77
31,17,40
22,17,76
35,18,6
23,18,94
64,19,3
30,19,72
67,19,14
35,19,99
58,20,15
24,20,77
37,20,13
22,20,79
35,21,35
20,21,66
52,23,29
35,23,98
46,25,5
31,25,73
54,28,14
45,28,32
40,28,31
23,30,73
43,30,35
68,33,15
35,33,87
59,34,14
60,34,4
30,34,73
18,35,92
49,37,26
21,37,81
53,38,34
37,38,72
65,38,35
50,39,45
27,39,78
49,39,14
24,39,65
48,39,36
31,40,77
49,42,28
24,42,65
50,43,45
27,43,79
29,44,42
31,44,70
49,46,56
33,46,69
31,47,73
59,47,47
50,48,42
47,48,16
51,48,50
69,49,45
19,50,55
53,50,46
70,50,55
18,50,59
67,54,48
54,54,59
63,54,51
18,59,41
21,59,55
43,59,41
19,60,52
18,60,51
32,60,42
47,60,40
60,60,49
60,60,40
59,60,42
18,62,55
26,62,55
40,62,42
23,62,41
49,62,42
57,63,51
38,63,46
67,63,50
46,63,48
21,64,42
48,64,42
55,64,58
22,64,55
34,65,35
50,65,45
47,65,43
68,65,48
18,65,59
40,65,40
32,67,43
46,67,41
51,67,43
27,67,56
70,69,56
23,69,58
52,69,49
44,69,41
19,70,55
38,70,40
32,71,35
19,71,54
50,71,45
27,71,56
39,71,35
65,72,52
48,72,42
55,72,55
33,72,43
54,72,42
63,73,50
49,73,56
51,73,48
19,74,55
38,74,39
50,74,45
27,74,51
34,75,40
40,75,40
68,75,49
19,76,53
57,76,46
52,77,41
35,77,35
46,77,44
30,78,78
32,78,73
28,78,40
59,78,35
45,79,35
40,79,35
31,81,93
36,85,75
33,86,95
32,87,63
38,87,97
30,88,69
37,88,88
28,90,75
35,93,90
32,97,86
30,99,97
28,101,68
36,103,85
32,103,69
38,103,85
27,103,69
35,107,79
32,108,83
37,113,91
34,120,79
30,126,74
32,137,18
28,19,4
20,20,10
39,20,14
44,20,20
25,21,35
22,23,73
34,24,35
29,28,31
45,28,40
32,29,63
21,30,73
48,33,14
55,34,17
22,37,76
34,38,35
50,40,55
42,40,42
36,40,42
36,42,56
20,42,79
52,43,54
44,44,52
38,44,51
27,46,69
47,47,47
35,48,59
25,48,59
43,48,50
40,48,50
30,49,59
20,50,49
49,54,42
37,54,52
50,54,46
42,54,55
36,54,41
36,54,53
23,54,52
43,54,54
24,54,52
57,54,51
27,54,56
21,54,57
30,58,46
30,58,50
49,58,42
42,58,46
41,59,42
54,63,52
63,63,51
43,63,49
18,63,59
46,63,54
19,63,54
60,63,51
60,63,56
24,63,59
45,67,46
40,67,58
60,67,40
47,67,43
38,67,40
50,67,57
27,67,56
34,67,55
40,69,58
39,69,91
65,70,50
31,70,77
50,70,56
29,70,88
69,70,46
54,71,56
52,71,49
45,71,41
35,71,35
22,72,55
57,72,51
45,73,42
28,73,82
64,74,48
30,74,75
67,75,41
20,75,49
44,75,44
24,75,77
47,78,16
52,78,29
40,78,1
46,78,44
34,78,90
34,78,17
57,78,5
43,78,17
56,79,35
37,79,32
20,79,65
47,81,16
35,81,87
45,87,27
40,87,30
36,87,10
33,87,70
34,88,13
47,89,9
59,93,14
45,93,28
40,97,15
46,98,15
59,101,11
44,103,17
47,107,16
34,103,23
25,108,18
41,107,18
53,113,8
37,113,9
46,126,28
41,126,17
54,137,1
41,137,17
20,30,79
40,30,40
28,33,77
32,38,61
42,42,41
22,46,78
31,48,73
54,50,47
26,50,55
41,54,55
58,54,42
38,59,42
46,59,41
40,60,40
30,60,78
29,62,48
45,62,42
33,64,48
53,65,49
49,65,59
28,67,54
56,69,43
36,70,41
23,70,56
51,71,45
38,72,34
42,73,46
48,74,49
25,75,58
31,76,73
53,77,43
39,78,88
27,78,83
43,79,54
33,81,85
29,85,76
35,86,92
32,87,70
37,88,83
28,90,73
30,93,90
31,97,88
33,99,92
29,101,73
35,103,88
33,103,73
37,103,88
28,103,73
34,107,83
33,108,86
38,113,88
35,120,83
31,126,79
33,137,23
29,19,9
21,20,15
38,20,19
43,20,25
26,21,39
23,23,78
35,24,39
30,28,36
44,28,45
33,29,68
22,30,78
47,33,19
54,34,22
23,37,81
35,38,39
49,40,59
41,40,46
35,40,46
35,42,61
19,42,83
51,43,58
43,44,56
37,44,55
26,46,73
46,47,51
34,48,63
24,48,63
42,48,54
39,48,54
29,49,63
19,50,53
48,54,46
36,54,56
49,54,50
41,54,59
35,54,45
35,54,57
22,54,56
42,54,58
23,54,56
56,54,55
26,54,60
20,54,61
29,58,50
29,58,54
48,58,46
41,58,50
40,59,46
53,63,56
62,63,55
42,63,53
17,63,63
45,63,58
18,63,58
59,63,55
59,63,60
23,63,63
44,67,50
39,67,62
59,67,44
46,67,47
37,67,44
49,67,61
26,67,60
33,67,59
39,69,62
38,69,95
64,70,54
30,70,81
49,70,60
28,70,92
68,70,50
53,71,60
51,71,53
44,71,45
34,71,39
21,72,59
56,72,55
44,73,46
27,73,86
63,74,52
29,74,79
66,75,45
19,75,53
43,75,48
23,75,81
46,78,20
51,78,33
39,78,5
45,78,48
33,78,94
33,78,21
56,78,9
42,78,21
55,79,39
36,79,36
19,79,69
46,81,20
34,81,91
44,87,31
39,87,34
35,87,14
32,87,74
33,88,17
46,89,13
58,93,18
44,93,32
39,97,19
45,98,19
58,101,15
43,103,21
46,107,20
33,103,27
24,108,22
40,107,22
52,113,12
36,113,13
45,126,32
40,126,21
53,137,5
40,137,21
